"Shopping","Shopping"
"Search entire store here...","Search"
"Back To Top","Back To Top"
"Our Blog","Our Blog"
"Reset","Reset"
"Box/Wide","Box/Wide"
"Background Image","Background Image"
"Main Color","Main Color"
"Main Font","Main Font"
"Storeview","Storeview"
"QR Code","QR Code"
"Full Slideshow","Full Slideshow"
"Theme Variants","Theme Variants"
"Color Variation","Color Variation"
"Subscribe","Send"
"Sign up for your email ...", "Enter your email address"
"off <span>%d%s</span>","<span>%d%s</span>"
"If you have an account with us, please log in.","If you have an account with us, please log in."